timestamp,container,cpu_pct,mem_usage,mem_limit,mem_pct
2026-02-22T12:31:21Z,sxng-exp-13,0.00%,97.02MiB,200MiB,48.51%
2026-02-22T12:31:21Z,sxng-exp-17,0.00%,97.09MiB,200MiB,48.55%
2026-02-22T12:31:21Z,sxng-exp-19,0.00%,102.4MiB,200MiB,51.20%
2026-02-22T12:31:21Z,sxng-exp-07,0.00%,95.86MiB,200MiB,47.93%
2026-02-22T12:31:21Z,sxng-exp-16,0.00%,96.67MiB,200MiB,48.33%
2026-02-22T12:31:21Z,sxng-exp-12,0.00%,95.55MiB,200MiB,47.78%
2026-02-22T12:31:21Z,sxng-exp-14,0.00%,98.15MiB,200MiB,49.08%
2026-02-22T12:31:21Z,sxng-exp-03,0.00%,96.03MiB,200MiB,48.02%
2026-02-22T12:31:21Z,sxng-exp-01,0.00%,95.87MiB,200MiB,47.94%
2026-02-22T12:31:21Z,sxng-exp-09,0.00%,96.12MiB,200MiB,48.06%
2026-02-22T12:31:21Z,sxng-exp-02,0.00%,100.6MiB,200MiB,50.28%
2026-02-22T12:31:21Z,sxng-exp-06,0.00%,96.6MiB,200MiB,48.30%
2026-02-22T12:31:21Z,sxng-exp-20,0.00%,97.01MiB,200MiB,48.51%
